12:32:15:534 [08944] | INFO  | Initializing crosire's ReShade version '4.5.4.115' (32-bit) built on '2020-02-14 11:37:57' loaded from "V:\RetroBat\emulators\m2emulator\d3d9.dll" into "V:\RetroBat\emulators\m2emulator\emulator_multicpu.exe" ...
12:32:15:565 [08944] | INFO  | Registering hooks for "user32.dll" ...
12:32:15:565 [08944] | INFO  | > Libraries loaded.
12:32:15:565 [08944] | INFO  | > Found 13 match(es). Installing ...
12:32:15:565 [08944] | INFO  | Registering hooks for "ws2_32.dll" ...
12:32:15:565 [08944] | INFO  | > Libraries loaded.
12:32:15:565 [08944] | INFO  | > Found 8 match(es). Installing ...
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\d3d9.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed until first call to an exported function.
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\d3d10.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed.
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\d3d10_1.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed.
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\d3d11.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed.
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\d3d12.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed.
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\dxgi.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed.
12:32:15:581 [08944] | INFO  | Registering hooks for "C:\Windows\system32\opengl32.dll" ...
12:32:15:581 [08944] | INFO  | > Delayed.
12:32:15:581 [08944] | INFO  | Initialized.
12:32:15:581 [08944] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC58 { MYWIN }) ...
12:32:15:581 [08944] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'MYWIN'.
12:32:24:887 [07852] | INFO  | Exiting ...
12:32:24:887 [07852] | INFO  | Uninstalling 25 hook(s) ...
12:32:24:887 [07852] | INFO  | Finished exiting.
